Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Occupational exposure to sulphuric acid,DALYs,2013,2013,83000.0,60000.0,113000.0
,Occupational exposure to trichloroethylene,DALYs,2013,2013,2000.0,0.0,3000.0
,Occupational exposure to arsenic,DALYs,2013,2013,76000.0,60000.0,94000.0
,Occupational exposure to benzene,DALYs,2013,2013,95000.0,81000.0,108000.0
,Occupational exposure to beryllium,DALYs,2013,2013,3000.0,3000.0,4000.0
,Occupational exposure to cadmium,DALYs,2013,2013,16000.0,13000.0,19000.0
,Occupational exposure to chromium,DALYs,2013,2013,57000.0,50000.0,65000.0
,Occupational exposure to diesel engine exhaust,DALYs,2013,2013,797000.0,690000.0,913000.0
,Occupational exposure to second-hand smoke,DALYs,2013,2013,725000.0,660000.0,794000.0
,Occupational exposure to formaldehyde,DALYs,2013,2013,29000.0,23000.0,35000.0
,Occupational exposure to nickel,DALYs,2013,2013,257000.0,193000.0,326000.0
,Occupational asthmagens,DALYs,2013,2013,2771000.0,2227000.0,3521000.0
,"Occupational particulate matter, gases, and fumes",DALYs,2013,2013,8802000.0,7012000.0,10740000.0
,Occupational noise,DALYs,2013,2013,7119000.0,4549000.0,10329000.0
,Occupational injuries,DALYs,2013,2013,9947000.0,7886000.0,12927000.0
,Occupational ergonomic factors,DALYs,2013,2013,21109000.0,14206000.0,29304000.0
,Behavioural risks,DALYs,2013,2013,717608000.0,667831000.0,771924000.0
,Child and maternal malnutrition,DALYs,2013,2013,176859000.0,156431000.0,199831000.0
,Childhood undernutrition,DALYs,2013,2013,119802000.0,106565000.0,133359000.0
,Childhood underweight,DALYs,2013,2013,35806000.0,29108000.0,42575000.0
,Child wasting,DALYs,2013,2013,112350000.0,94437000.0,127169000.0
,Child stunting,DALYs,2013,2013,19291000.0,9581000.0,34208000.0
,Suboptimal breastfeeding,DALYs,2013,2013,44203000.0,28205000.0,61650000.0
,Non-exclusive breastfeeding,DALYs,2013,2013,38502000.0,23037000.0,55565000.0
,Discontinued breastfeeding,DALYs,2013,2013,5722000.0,1898000.0,10599000.0
,Iron deficiency,DALYs,2013,2013,44651000.0,31844000.0,62304000.0
,Vitamin A deficiency,DALYs,2013,2013,7875000.0,4758000.0,11541000.0
,Zinc deficiency,DALYs,2013,2013,5996000.0,745000.0,13267000.0
