Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,High alcohol use,DALYs,2010,1990,106029000.0,98299000.0,114763000.0,High alcohol use,Behavioural risks
,Drug use,DALYs,2010,1990,15171000.0,11714000.0,19369000.0,Drug use,Behavioural risks
,High fasting plasma glucose,DALYs,2010,1990,56358000.0,48720000.0,65030000.0,High fasting plasma glucose,Metabolic risks
,High LDL cholesterol*,DALYs,2010,1990,39526000.0,32704000.0,47202000.0,High LDL cholesterol*,Metabolic risks
,High systolic blood pressure,DALYs,2010,1990,137017000.0,124360000.0,149366000.0,High systolic blood pressure,Metabolic risks
,High body-mass index,DALYs,2010,1990,51565000.0,40786000.0,62557000.0,High body-mass index,Metabolic risks
,Low bone mineral density,DALYs,2010,1990,3125000.0,2589000.0,3811000.0,Low bone mineral density,Metabolic risks
,Diet low in fruits,DALYs,2010,1990,80453000.0,63298000.0,95763000.0,Dietary risks,Behavioural risks
,Diet low in vegetables,DALYs,2010,1990,31558000.0,21349000.0,41921000.0,Dietary risks,Behavioural risks
,Diet low in whole grains,DALYs,2010,1990,29404000.0,23097000.0,35134000.0,Dietary risks,Behavioural risks
,Diet low in nuts and seeds,DALYs,2010,1990,40525000.0,26308000.0,51741000.0,Dietary risks,Behavioural risks
,Diet low in milk,DALYs,2010,1990,1527000.0,461000.0,2555000.0,Dietary risks,Behavioural risks
,Diet high in red meat,DALYs,2010,1990,1208000.0,571000.0,1909000.0,Dietary risks,Behavioural risks
,Diet high in processed meat,DALYs,2010,1990,17359000.0,5137000.0,27949000.0,Dietary risks,Behavioural risks
