Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
3.0,Diet high in processed meat,DALYs,2016,2016,3196040.0,1091350.0,5836230.0,Dietary risks,Behavioural risks
3.0,"Diet high in 
sugar sweetened beverages",DALYs,2016,2016,779510.0,523900.0,1145180.0,Dietary risks,Behavioural risks
3.0,Diet low in fiber,DALYs,2016,2016,20119470.0,11653460.0,30430150.0,Dietary risks,Behavioural risks
3.0,Diet low in calcium,DALYs,2016,2016,3353070.0,2127080.0,4832470.0,Dietary risks,Behavioural risks
3.0,Diet low in seafood omega-3 fatty acids,DALYs,2016,2016,33347839.999999996,14222640.0,53678050.0,Dietary risks,Behavioural risks
3.0,"Diet low in 
polyunsaturated fatty acids",DALYs,2016,2016,8351809.999999999,3443290.0,12916370.0,Dietary risks,Behavioural risks
3.0,Diet high in trans fatty acids,DALYs,2016,2016,5111020.0,1348610.0,11683020.0,Dietary risks,Behavioural risks
3.0,Diet high in sodium,DALYs,2016,2016,47567080.0,14436690.0,92411610.0,Dietary risks,Behavioural risks
3.0,Intimate partner violence,DALYs,2016,2016,5575290.0,4224540.0,7079580.0,Intimate partner violence,Behavioural risks
2.0,Unsafe sex,DALYs,2016,2016,54603030.0,51340060.0,58075620.0,Unsafe sex,Behavioural risks
2.0,Low physical activity,DALYs,2016,2016,24315860.0,12811320.0,36604690.0,Low physical activity,Behavioural risks
1.0,Metabolic risks,DALYs,2016,2016,401813920.0,372407650.0,434394060.0,Other,Metabolic risks
2.0,High fasting plasma glucose,DALYs,2016,2016,144088580.0,119872600.0,171585770.0,High fasting plasma glucose,Metabolic risks
2.0,High LDL cholesterol*,DALYs,2016,2016,93844030.0,78027310.0,111266480.0,High LDL cholesterol*,Metabolic risks
2.0,High systolic blood pressure,DALYs,2016,2016,212105090.0,191466220.0,230661270.0,High systolic blood pressure,Metabolic risks
2.0,High body-mass index,DALYs,2016,2016,135381330.0,88608730.0,187363700.0,High body-mass index,Metabolic risks
2.0,Low bone mineral density,DALYs,2016,2016,11955490.0,10090790.0,14196270.0,Low bone mineral density,Metabolic risks
2.0,Kidney dysfunction*,DALYs,2016,2016,60482180.0,55678630.0,65319350.0,Kidney dysfunction*,Metabolic risks
0.0,All risk factors,Deaths,2017,2017,34100000.0,33300000.0,35000000.0,Other,All risk factors
1.0,Environmental/occupational risks,Deaths,2017,2017,8320000.0,7690000.0,9020000.0,Other,Environmental/occupational risks
2.0,"Unsafe water, sanitation, and handwashing",Deaths,2017,2017,1610000.0,1230000.0,2230000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,Unsafe water source,Deaths,2017,2017,1230000.0,736000.0,1830000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,Unsafe sanitation,Deaths,2017,2017,774000.0,566000.0,1060000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,No access to handwashing facility,Deaths,2017,2017,707000.0,416000.0,1020000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
2.0,Air pollution,Deaths,2017,2017,4900000.0,4420000.0,5390000.0,Air pollution,Environmental/occupational risks
3.0,Particulate matter pollution,Deaths,2017,2017,4580000.0,4130000.0,5030000.0,Air pollution,Environmental/occupational risks
4.0,Ambient particulate matter pollution,Deaths,2017,2017,2940000.0,2500000.0,3360000.0,Air pollution,Environmental/occupational risks
4.0,Household air pollution from solid fuels,Deaths,2017,2017,1640000.0,1400000.0,1930000.0,Air pollution,Environmental/occupational risks
3.0,Ambient ozone pollution,Deaths,2017,2017,472000.0,177000.0,768000.0,Air pollution,Environmental/occupational risks
2.0,Other environmental risks,Deaths,2017,2017,1140000.0,794000.0,1530000.0,Other environmental risks,Environmental/occupational risks
3.0,Residential radon,Deaths,2017,2017,88000.0,50000.0,139000.0,Other environmental risks,Environmental/occupational risks
3.0,Lead exposure,Deaths,2017,2017,1050000.0,709000.0,1430000.0,Other environmental risks,Environmental/occupational risks
2.0,Occupational risks,Deaths,2017,2017,1160000.0,1050000.0,1280000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational carcinogens,Deaths,2017,2017,334000.0,271000.0,397000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational asthmagens,Deaths,2017,2017,34000.0,22000.0,47000.0,Occupational risks,Environmental/occupational risks
3.0,"Occupational particulate matter, gases, and fumes",Deaths,2017,2017,488000.0,397000.0,584000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational injuries,Deaths,2017,2017,304000.0,288000.0,323000.0,Occupational risks,Environmental/occupational risks
1.0,Behavioural risks,Deaths,2017,2017,23800000.0,23100000.0,24600000.0,Other,Behavioural risks
2.0,Child and maternal malnutrition,Deaths,2017,2017,3190000.0,3020000.0,3360000.0,Child and maternal malnutrition,Behavioural risks
3.0,Suboptimal breastfeeding,Deaths,2017,2017,169000.0,132000.0,210000.0,Child and maternal malnutrition,Behavioural risks
3.0,Child growth failure,Deaths,2017,2017,1190000.0,1060000.0,1300000.0,Child and maternal malnutrition,Behavioural risks
3.0,Low birth weight and short gestation,Deaths,2017,2017,1880000.0,1790000.0,1970000.0,Child and maternal malnutrition,Behavioural risks
3.0,Iron deficiency,Deaths,2017,2017,60000.0,24000.0,91000.0,Child and maternal malnutrition,Behavioural risks
3.0,Vitamin A deficiency,Deaths,2017,2017,233000.0,179000.0,294000.0,Child and maternal malnutrition,Behavioural risks
3.0,Zinc deficiency,Deaths,2017,2017,29000.0,1000.0,77000.0,Child and maternal malnutrition,Behavioural risks
2.0,Tobacco,Deaths,2017,2017,8100000.0,7790000.0,8420000.0,Tobacco,Behavioural risks
3.0,Smoking,Deaths,2017,2017,7100000.0,6830000.0,7370000.0,Tobacco,Behavioural risks
3.0,Chewing tobacco,Deaths,2017,2017,76000.0,62000.0,91000.0,Tobacco,Behavioural risks
3.0,Second-hand smoke,Deaths,2017,2017,1220000.0,984000.0,1500000.0,Tobacco,Behavioural risks
2.0,High alcohol use,Deaths,2017,2017,2840000.0,2440000.0,3250000.0,High alcohol use,Behavioural risks
2.0,Drug use,Deaths,2017,2017,585000.0,535000.0,635000.0,Drug use,Behavioural risks
