,Overarching_group,Group,Risk_factor,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs,Median Deaths (Min-Max),Median DALYs (Min-Max)
10,Behavioural risks,Dietary risks,Diet high in processed meat,304284.4,130000.0,840857.0,7.0,413575.7,268734.6,174284.4,710857.0,2.3,1.7,0.6,6.5,2.8,0.8,10357091.0,3196040.0,20939000.0,7,11272287.4,6791203.2,6787091.0,17742960.0,1.7,1.6,0.6,6.6,3.2,1.0,304284.4 (130000.0-840857.0),10357091.0 (3196040.0-20939000.0)
11,Behavioural risks,Dietary risks,Diet high in red meat,43000.0,25000.0,895674.9,7.0,209931.3,321597.9,18000.0,870674.9,20.2,4.1,1.5,35.8,20.8,0.6,1853000.0,1247330.0,23861073.8,7,6257706.1,8316814.0,605670.0,22613743.8,12.2,3.6,1.3,19.1,12.9,0.5,43000.0 (25000.0-895674.9),1853000.0 (1247330.0-23861073.8)
12,Behavioural risks,Dietary risks,Diet high in sodium,3104308.0,1857695.6,4130000.0,7.0,2882404.2,887735.2,793838.0,2272304.4,0.7,0.8,0.3,2.2,1.7,0.4,61231000.0,41275914.1,83008000.0,7,60382233.1,16214557.2,13663920.0,41732085.9,0.7,0.7,0.3,2.0,1.5,0.3,3104308.0 (1857695.6-4130000.0),61231000.0 (41275914.1-83008000.0)
13,Behavioural risks,Dietary risks,Diet high in trans fatty acids,405000.0,93310.7,644981.0,7.0,369741.7,189096.9,147000.0,551670.3,1.4,1.5,0.5,6.9,4.3,0.5,9875000.0,2491995.3,14234237.0,7,8720321.8,4213544.8,3715000.0,11742241.6,1.2,1.3,0.5,5.7,4.0,0.6,405000.0 (93310.7-644981.0),9875000.0 (2491995.3-14234237.0)
14,Behavioural risks,Dietary risks,"Diet low in 
polyunsaturated fatty acids",533603.0,346234.4,799000.0,7.0,541406.7,176566.8,145603.0,452765.6,0.8,0.8,0.3,2.3,1.5,0.4,11680000.0,8012899.2,17900000.0,7,12107795.7,4336941.8,3410000.0,9887100.8,0.8,0.8,0.4,2.2,1.5,0.4,533603.0 (346234.4-799000.0),11680000.0 (8012899.2-17900000.0)
15,Behavioural risks,Dietary risks,Diet low in calcium,141000.0,83864.0,185000.0,7.0,141890.6,32040.1,18880.0,101136.0,0.7,0.7,0.2,2.2,1.7,0.2,3144597.4,2031478.0,3890000.0,7,3024163.6,596622.0,268597.4,1858522.0,0.6,0.6,0.2,1.9,1.5,0.1,141000.0 (83864.0-185000.0),3144597.4 (2031478.0-3890000.0)
16,Behavioural risks,Dietary risks,Diet low in fiber,742888.0,387000.0,1009000.0,7.0,730677.9,210416.7,134962.0,622000.0,0.8,0.9,0.3,2.6,1.9,0.3,16696607.5,8393000.0,22098000.0,7,16993777.8,4500040.4,3203392.5,13705000.0,0.8,0.8,0.3,2.6,2.0,0.3,742888.0 (387000.0-1009000.0),16696607.5 (8393000.0-22098000.0)
17,Behavioural risks,Dietary risks,Diet low in fruits,2420000.0,1046014.9,4902242.0,7.0,2678578.4,1249475.9,736408.4,3856227.1,1.6,1.4,0.5,4.7,2.3,0.5,64800000.0,27678336.2,104095000.0,7,64101347.0,24277204.6,9997000.0,76416663.8,1.2,1.2,0.4,3.8,2.3,0.2,2420000.0 (1046014.9-4902242.0),64800000.0 (27678336.2-104095000.0)
18,Behavioural risks,Dietary risks,Diet low in legumes,603735.0,389328.8,1116424.0,4.0,678305.7,314126.3,141570.6,727095.3,1.2,1.1,0.5,2.9,1.8,0.3,12607225.0,9162566.8,24309038.5,4,14671513.8,6755721.1,2525941.6,15146471.8,1.2,1.0,0.5,2.7,1.9,0.3,603735.0 (389328.8-1116424.0),12607225.0 (9162566.8-24309038.5)
19,Behavioural risks,Dietary risks,Diet low in milk,126000.0,100951.0,166456.4,7.0,127746.9,22790.4,20610.9,65505.4,0.5,0.5,0.2,1.6,1.3,0.2,2603000.0,2101000.0,3799297.2,7,2787929.1,632151.5,385000.0,1698297.2,0.7,0.6,0.2,1.8,1.5,0.2,126000.0 (100951.0-166456.4),2603000.0 (2101000.0-3799297.2)
20,Behavioural risks,Dietary risks,Diet low in nuts and seeds,2060000.0,575139.2,2471823.0,7.0,1606607.0,781309.1,411823.0,1896683.8,0.9,1.2,0.5,4.3,3.6,0.3,49411000.0,13595096.5,51289000.0,7,36722587.1,17106917.5,1878000.0,37693903.5,0.8,1.0,0.5,3.8,3.6,0.1,2060000.0 (575139.2-2471823.0),49411000.0 (13595096.5-51289000.0)
21,Behavioural risks,Dietary risks,Diet low in seafood omega-3 fatty acids,1389896.0,337279.7,1538760.0,7.0,1119468.3,472191.6,148864.0,1201480.3,0.9,1.1,0.4,4.6,4.1,0.2,28199000.0,7409654.9,33347840.0,7,24375073.8,9812713.4,5148840.0,25938185.1,0.9,1.1,0.4,4.5,3.8,0.3,1389896.0 (337279.7-1538760.0),28199000.0 (7409654.9-33347840.0)
22,Behavioural risks,Dietary risks,Diet low in vegetables,1519650.0,529381.3,1994000.0,7.0,1420537.9,535337.1,277604.0,1464618.7,1.0,1.0,0.4,3.8,2.9,0.3,35489090.0,12953238.5,44632000.0,7,32237859.9,11270707.4,3686910.0,31678761.5,0.9,1.0,0.3,3.4,2.7,0.2,1519650.0 (529381.3-1994000.0),35489090.0 (12953238.5-44632000.0)
23,Behavioural risks,Dietary risks,Diet low in whole grains,2049000.0,1546242.7,3142000.0,7.0,2268083.0,645784.8,449690.0,1595757.3,0.8,0.7,0.3,2.0,1.5,0.3,51411000.0,40414150.2,82500000.0,7,57152852.4,18165690.2,10996849.8,42085849.8,0.8,0.7,0.3,2.0,1.6,0.3,2049000.0 (1546242.7-3142000.0),51411000.0 (40414150.2-82500000.0)
24,Behavioural risks,Dietary risks,Dietary risks,10600770.0,7219015.9,12058000.0,6.0,9949267.0,1934365.8,1065230.0,4838984.1,0.5,0.5,0.2,1.7,1.5,0.1,235208270.0,178258703.0,264411000.0,6,225963642.5,35518742.5,24497230.0,86152297.0,0.4,0.4,0.2,1.5,1.3,0.2,10600770.0 (7219015.9-12058000.0),235208270.0 (178258703.0-264411000.0)
25,Behavioural risks,Drug use,Drug use,463360.2,157805.0,585000.0,7.0,438639.6,133430.9,31131.5,427195.0,0.9,1.0,0.3,3.7,2.9,0.1,28578000.0,23810000.0,41700000.0,7,30335518.7,5639472.7,2349026.7,17890000.0,0.6,0.6,0.2,1.8,1.5,0.1,463360.2 (157805.0-585000.0),28578000.0 (23810000.0-41700000.0)
26,Behavioural risks,High alcohol use,High alcohol use,2735511.0,1809438.8,2840000.0,7.0,2533366.2,379021.7,104489.0,1030561.2,0.4,0.4,0.1,1.6,1.5,0.1,99204890.0,72254239.1,136063000.0,7,98969480.6,20010163.0,8795110.0,63808760.9,0.6,0.6,0.2,1.9,1.4,0.1,2735511.0 (1809438.8-2840000.0),99204890.0 (72254239.1-136063000.0)
27,Behavioural risks,Intimate partner violence,Intimate partner violence,86503.3,61276.9,197000.0,7.0,121890.7,64097.4,25226.5,135723.1,1.6,1.1,0.5,3.2,2.3,0.4,8497964.2,5575290.0,16794000.0,7,10399951.1,4494663.3,2922674.2,11218710.0,1.3,1.1,0.4,3.0,2.0,0.5,86503.3 (61276.9-197000.0),8497964.2 (5575290.0-16794000.0)
28,Behavioural risks,Low physical activity,Low physical activity,1373340.0,657618.7,3183940.0,7.0,1584771.5,865220.4,541838.0,2526321.3,1.8,1.6,0.5,4.8,2.3,0.6,24315860.0,15704960.4,69318000.0,7,32647536.9,19264846.6,8610899.6,53613039.6,2.2,1.6,0.6,4.4,2.9,0.5,1373340.0 (657618.7-3183940.0),24315860.0 (15704960.4-69318000.0)
