,Overarching_group,Group,Risk_factor,anal_year,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs
138,Behavioural risks,Dietary risks,Diet low in calcium,2006,83274.8675951633,60638.4280722938,135490.0,4.0,90669.5408156551,34646.39205897232,19840.351023158102,74851.5719277062,0.898849485916849,0.8255426381819974,0.3821172109982743,2.2343916936380235,1.6270215001563018,0.3530885255712864,2036564.951844105,1518833.0873606,2935650.0,4,2131903.2477622023,657212.276183652,437660.9556815501,1416816.9126394,0.6956895292519276,0.6645784296855836,0.30827490735027907,1.9328325307302319,1.4414713350250752,0.3184840904449127
139,Behavioural risks,Dietary risks,Diet low in calcium,2007,84772.18061657065,61537.056276962,145000.0,4.0,94020.35437752583,38641.554566755825,20661.640749861,83462.943723038,0.9845558190905291,0.8877114352058705,0.41099137333173585,2.3563038073741027,1.710466794004547,0.3612099083518033,2065011.685743485,1533505.72107277,3150000.0,4,2203382.273139935,747195.3050037305,456733.9750842651,1616494.27892723,0.7828015163726441,0.7336422275121789,0.3391128784652234,2.0541168883259235,1.52541509655713,0.3277849494741129
140,Behavioural risks,Dietary risks,Diet low in calcium,2010,90438.507466762,63501.8118852927,125594.0,4.0,92493.20670470418,30660.541392641666,23930.179174388155,62092.1881147073,0.6865680322900889,0.6713162006907617,0.33148965729482355,1.9778018338574073,1.4241878267997572,0.39213965964085795,2160749.246747835,1563178.38324169,2624346.57271739,4,2127255.8623636877,558581.1217429052,446424.03961086005,1061168.1894757,0.4911112157381865,0.4988437019967073,0.2625829509395457,1.678852906905653,1.382279380211818,0.3061902845501744
141,Behavioural risks,Dietary risks,Diet low in calcium,2013,95067.76933701275,64761.9648466514,141000.0,4.0,98974.37588016923,36786.12197987406,26838.850057621803,76238.03515334861,0.8019335647088423,0.770280534485531,0.37167318967903307,2.1772038623885357,1.4831525025075396,0.4183875993176358,2265045.547108085,1580797.47468094,2876000.0,4,2246722.1422242774,666276.5593508987,553382.3446764101,1295202.52531906,0.5718218456899113,0.5764854055503261,0.29655494412463407,1.819334890182866,1.432849927575479,0.362073352501686
142,Behavioural risks,Dietary risks,Diet low in calcium,2015,98817.75161489446,67208.9009668913,160000.0,4.0,106211.10104917004,43745.021508286474,28139.032264263355,92791.0990331087,0.939012449855443,0.8736478401645736,0.4118686377993095,2.38063705399408,1.6191422834992306,0.4220096605532632,2340102.498683285,1632028.91962532,3284000.0,4,2399058.4792479724,799727.5353532876,613912.94672511,1651971.08037468,0.7059396249968544,0.6885914181185445,0.333350579934165,2.0122192447140814,1.4338609264476294,0.38879450261625065
143,Behavioural risks,Dietary risks,Diet low in calcium,2016,101093.80422433716,68602.2508509459,159880.0,4.0,107667.46482490505,43293.87361163271,28916.671866572557,91277.7491490541,0.9029015165607948,0.8477746670964638,0.4021073003069188,2.3305357771332593,1.5815014701119612,0.42390834962706647,2386431.218536355,1663338.89984943,3353070.0,4,2447317.834230535,818204.7780696632,627523.8043809001,1689731.10015057,0.7080577420483609,0.690442032708776,0.3343271424027832,2.015867001188711,1.4347233860474142,0.3896991754335477
144,Behavioural risks,Dietary risks,Diet low in calcium,2017,103309.54342296875,69924.0009766073,185000.0,4.0,115385.7719556362,53458.95817395561,29774.230761518847,115075.9990233927,1.1138951466685885,0.9973153281640079,0.46330632683646333,2.645729612381459,1.7907348524673574,0.42711842997808225,2430873.1861293,1690361.89177417,3890000.0,4,2610527.0660081925,1023948.145896336,643455.0813487899,2199638.10822583,0.9048757132939265,0.8426030654374096,0.3922380883267665,2.3012823578962336,1.6002480187763641,0.39228719786791205
145,Behavioural risks,Dietary risks,Diet low in calcium,2019,80628.385457525,70451.0229055554,137895.942410856,3.0,96325.11692464545,36359.24677207005,10177.362551969607,67444.9195053006,0.8364910089986926,0.7001799910407827,0.3774638218245161,1.9573305925694693,1.7102654558734718,0.1870662697315773,1958262.6022419,1705794.88938282,3144597.44987367,3,2269551.64716613,768253.7693601873,252467.71285907994,1438802.56049085,0.734734227597284,0.6339589417528378,0.3385046426766562,1.8434792303847436,1.605809887945368,0.19106587136413977
146,Behavioural risks,Dietary risks,Diet low in calcium,2021,79573.87961758496,75283.7676090376,83863.9916261323,2.0,79573.87961758496,6067.13458658734,4290.112008547345,8580.22401709469,0.10782714200098589,0.10782714200098589,0.07624530330486198,1.1139717669505247,1.0569858834752623,0.07989991222273053,1935556.2971450998,1839634.59561371,2031477.99867649,2,1935556.2971450998,135653.77123159583,95921.70153139008,191843.40306278015,0.09911538266582309,0.09911538266582309,0.07008515920290305,1.104283428633163,1.0521417143165814,0.07344449855537491
147,Behavioural risks,Dietary risks,Diet low in fiber,1990,529753.778396481,406964.216527462,716000.0,5.0,550453.4590456082,112679.54861058525,54390.22160351905,309035.783472538,0.5833573937083804,0.561420367869707,0.20470313476810964,1.7593684430279246,1.3515712944365783,0.152158062299062,13353396.7987062,11731728.6722879,16395000.0,5,13922912.547297502,1754702.936846514,1434040.4667872004,4663271.3277121,0.34921985753946294,0.33493504407720076,0.12602987563741536,1.3974922586410854,1.227777489663791,0.15915410916153894
