,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
418,,Diet high in processed meat,DALYs,2015,2015,14907000.0,6450000.0,23452000.0,8.0
419,,"Diet high in 
sugar sweetened beverages",DALYs,2015,2015,1449000.0,1004000.0,2059000.0,15.0
420,,Diet low in fiber,DALYs,2015,2015,8393000.0,3908000.0,14657000.0,10.0
421,,Diet low in calcium,DALYs,2015,2015,3284000.0,1966000.0,4755000.0,12.0
422,,Diet low in seafood omega-3 fatty acids,DALYs,2015,2015,31310000.0,13272000.0,49823000.0,7.0
423,,"Diet low in 
polyunsaturated fatty acids",DALYs,2015,2015,8270000.0,3534000.0,12996000.0,11.0
424,,Diet high in trans fatty acids,DALYs,2015,2015,11578000.0,5138000.0,20322000.0,9.0
425,,Diet high in sodium,DALYs,2015,2015,83008000.0,49326000.0,127452000.0,1.0
430,,Low physical activity,DALYs,2015,2015,34603000.0,26905000.0,42282000.0,6.0
575,3.0,Diet low in fruits,DALYs,2016,2016,60982390.0,38806060.0,87349090.0,2.0
576,3.0,Diet low in vegetables,DALYs,2016,2016,35489090.0,17454480.0,57174790.0,5.0
577,3.0,Diet low in legumes,DALYs,2016,2016,14214450.0,6113490.0,23571090.0,9.0
578,3.0,Diet low in whole grains,DALYs,2016,2016,62596110.0,42330990.0,86426660.0,1.0
579,3.0,Diet low in nuts and seeds,DALYs,2016,2016,49492970.0,32430010.0,66636039.99999999,3.0
580,3.0,Diet low in milk,DALYs,2016,2016,2581500.0,930450.0,4435440.0,14.0
581,3.0,Diet high in red meat,DALYs,2016,2016,1247330.0,508190.0,2077330.0,15.0
582,3.0,Diet high in processed meat,DALYs,2016,2016,3196040.0,1091350.0,5836230.0,13.0
583,3.0,"Diet high in 
sugar sweetened beverages",DALYs,2016,2016,779510.0,523900.0,1145180.0,16.0
584,3.0,Diet low in fiber,DALYs,2016,2016,20119470.0,11653460.0,30430150.0,8.0
585,3.0,Diet low in calcium,DALYs,2016,2016,3353070.0,2127080.0,4832470.0,12.0
586,3.0,Diet low in seafood omega-3 fatty acids,DALYs,2016,2016,33347839.999999996,14222640.0,53678050.0,6.0
587,3.0,"Diet low in 
polyunsaturated fatty acids",DALYs,2016,2016,8351809.999999999,3443290.0,12916370.0,10.0
588,3.0,Diet high in trans fatty acids,DALYs,2016,2016,5111020.0,1348610.0,11683020.0,11.0
589,3.0,Diet high in sodium,DALYs,2016,2016,47567080.0,14436690.0,92411610.0,4.0
594,2.0,Low physical activity,DALYs,2016,2016,24315860.0,12811320.0,36604690.0,7.0
738,3.0,Diet low in fruits,DALYs,2017,2017,64800000.0,40600000.0,92000000.0,3.0
739,3.0,Diet low in vegetables,DALYs,2017,2017,34200000.0,17700000.0,55700000.0,5.0
740,3.0,Diet low in legumes,DALYs,2017,2017,11000000.0,4390000.0,18700000.0,10.0
741,3.0,Diet low in whole grains,DALYs,2017,2017,82500000.0,59000000.0,109000000.0,1.0
742,3.0,Diet low in nuts and seeds,DALYs,2017,2017,49900000.0,33100000.0,68000000.0,4.0
743,3.0,Diet low in milk,DALYs,2017,2017,2720000.0,965000.0,4730000.0,15.0
744,3.0,Diet high in red meat,DALYs,2017,2017,1310000.0,508000.0,2250000.0,16.0
745,3.0,Diet high in processed meat,DALYs,2017,2017,3570000.0,1260000.0,6770000.0,14.0
746,3.0,"Diet high in 
sugar sweetened beverages",DALYs,2017,2017,4450000.0,1490000.0,7700000.0,12.0
747,3.0,Diet low in fiber,DALYs,2017,2017,19900000.0,11600000.0,30400000.0,8.0
748,3.0,Diet low in calcium,DALYs,2017,2017,3890000.0,2450000.0,5480000.0,13.0
749,3.0,Diet low in seafood omega-3 fatty acids,DALYs,2017,2017,32400000.0,15200000.0,52700000.0,6.0
750,3.0,"Diet low in 
polyunsaturated fatty acids",DALYs,2017,2017,17900000.0,7770000.0,29000000.0,9.0
751,3.0,Diet high in trans fatty acids,DALYs,2017,2017,6160000.0,1870000.0,13800000.0,11.0
752,3.0,Diet high in sodium,DALYs,2017,2017,70400000.0,33600000.0,118000000.0,2.0
757,2.0,Low physical activity,DALYs,2017,2017,23700000.0,12500000.0,37300000.0,7.0
876,,Diet low in fruits,DALYs,2019,2019,27678336.1525521,20226683.1197523,35925411.300784,3.0
877,,Diet low in vegetables,DALYs,2019,2019,12953238.48279,8248082.56831476,17515468.8697509,10.0
878,,Diet low in whole grains,DALYs,2019,2019,42573706.3504837,22331727.7747077,53238699.0293731,2.0
879,,Diet low in nuts and seeds,DALYs,2019,2019,13595096.546288,7756115.80704582,18643841.2456166,9.0
880,,Diet low in milk,DALYs,2019,2019,3799297.24857622,2457767.552848,5124452.91399502,15.0
